a-bê-cê	abecedário
amolestar-se	escandalizar-se
amolgar	prostrar
amolgar-se	cair
amolgação	amolgadura
amontoado	poupado
amontoamento	sobreposição
amontoar	conglobar
amoquecar-se	intimidar-se
amor	carinho
amor-próprio	auto-estima
amorcegar	mungir
amordaçar	emordaçar
amorenado	bronzeado
amorenar	atrigueirar
amorenar-se	tostar-se
amorfanhar	encouchar
amoriscar-se	apassionar-se
amorosamente	ternamente
amoroso	caroável
amortecer	placar
amortecer-se	esmaecer
amortecido	mortiço
amortificar	temperar
amorável	querençoso
amostrar	indicar
amostrar-se	repontar
amota	marachão
amotinar	atumultar
