acusado	querelado
acusador	acusante
acusante	criminador
acusar	amostrar
acusar-se	delatar-se
acusatório	argüitivo
acusação	criminação
acusável	argüível
acuta	suta
acutíssimo	agudíssimo
acuômetro	audiômetro
acéquia	cano
acérrimo	teimoso
acético	acre
acêntrico	excêntrico
acólito	assistente
acômodo	favorável
acôntio	seta
acúleo	ferrão
acúmen	fastígio
acúmetro	acuômetro
acúmulo	montão
adactilia	adatilia
adagada	crisada
adamado	alfeninado
adamantino	diamântico
adamar-se	afetar-se
adaptabilidade	adequabilidade
adaptado	habituado
adaptar	preparar
adaptar-se	moldar-se
adaptação	conformação
adargar	proteger
adargar-se	velar-se
adefagia	voracidade
adejante	pairador
adejar	jogar
adejo	voejo
adeleiro	merca-tudo
adelgadar	renegar
adelgadar-se	afinar-se
adelgar	empalecer
adelgar-se	afilar-se
adelgaçado	fino
adelgaçamento	afunilamento
adelgaçar	engoiar-se
adelgaçar-se	emagrentar-se
adelo	merca-tudo
ademã	momice
adenda	complemento
adendo	complemento
adengar-se	afetar-se
adenoso	glanduloso
adensado	condensado
adensamento	saturação
adensar	condensar
adensar-se	inspissar-se
adentado	dentado
adentrar	embocar
adentrar-se	engolfar-se
adentro	internamente
adepto	prosélito
adequabilidade	condignidade
adequadamente	propriamente
adequado	próprio
adequar	harmonizar
adequar-se	arranjar-se
adequação	correspondência
aderente	discípulo
adereçado	aparamentado
adereçamento	decoração
adereçar	emoldar
adereçar-se	ataviar-se
adereço	requifife
adergar	falar
aderido	adeso
aderir	gostar
aderência	simpatia
adesionismo	adesismo
adesionista	adesivista
adesismo	adesivismo
adesista	adesivista
adesivo	esparadrapo
adestrado	industriado
adestramento	treinamento
adestrar	disciplinar
adestrar-se	estudar
adesão	apoio
adeus	despedida
adeusar	endeusar
adiado	retardado
adiaforista	adiaforístico
adiamento	transferência
adiantadamente	antecipadamente
adiantado	antecipado
adiantamento	irreflexão
adiantar	antecipar
adiantar-se	avançar
adiante	sucessivamente
adiar	espacejar
adicionado	aposto
adicional	aditivo
adicionamento	aumento
adicionar	enxertar
adicionar-se	aumentar-se
adicionação	adicionamento
adido	amparado
adinamizar	desvigorizar
adinheirado	amoedado
adinheirar	adornar
adinheirar-se	empilchar-se
adiposidade	corpulência
adiposo	balofo
adir	agregar
aditado	aposto
aditamento	adjeção
aditar	juntar
aditivo	complementar
aditício	complementar
adivinha	charada
adivinhador	áuspice
adivinhar	depreender
adivinhação	predefinição
adivinho	vate
adiáfano	intransparente
adiáforo	secundário
adiável	protelável
adição	suplemento
adjacente	arredor
adjacência	arrebalde
adjacências	imediações
adjetivar	qualificar
adjetivação	adjetivamento
adjeto	conjunto
adjeção	suplemento
adjudicar	concatenar
adjudicação	rematação
adjugar	descativar
adjuntivo	associativo
adjunto	auxiliador
adjunção	associação
adjurar	invocar
adjuração	esconjuração
adjutor	ajudante
adjutorar	auxiliar
adjutório	ajudadouro
adminicular	sustentar
administrado	encabeçado
administrador	despenseiro
administrar	governar
administração	direção
adminículo	ajudadoiro
admirabilidade	genialidade
